generation,phase,individual,state_id,action
0,before,0,0,1
0,before,0,1,0
0,before,0,2,2
0,before,0,3,0
0,before,0,4,1
0,before,0,5,1
0,before,0,6,0
0,before,0,7,1
0,before,0,8,1
0,before,0,9,0
0,before,0,10,0
0,before,0,11,2
0,before,0,12,0
0,before,0,13,0
0,before,0,14,1
0,before,0,15,2
0,before,0,16,1
0,before,0,17,0
0,before,0,18,1
0,before,0,19,1
0,before,0,20,1
0,before,0,21,0
0,before,0,22,0
0,before,0,23,1
0,before,0,24,2
0,before,0,25,0
0,before,0,26,1
0,before,0,27,1
0,before,0,28,1
0,before,0,29,0
0,before,0,30,1
0,before,0,31,2
0,before,0,32,2
0,before,0,33,1
0,before,0,34,1
0,before,0,35,1
0,before,0,36,2
0,before,0,37,1
0,before,0,38,0
0,before,0,39,1
0,before,0,40,2
0,before,0,41,2
0,before,0,42,1
0,before,0,43,1
0,before,0,44,1
0,before,0,45,1
0,before,0,46,0
0,before,0,47,1
0,before,0,48,1
0,before,0,49,2
0,before,0,50,1
0,before,0,51,0
0,before,0,52,1
0,before,0,53,0
0,before,0,54,1
0,before,0,55,0
0,before,0,56,2
0,before,0,57,1
0,before,0,58,1
0,before,0,59,2
0,before,0,60,2
0,before,0,61,0
0,before,0,62,1
0,before,0,63,1
0,before,0,64,0
0,before,0,65,2
0,before,0,66,0
0,before,0,67,1
0,before,0,68,1
0,before,0,69,1
0,before,0,70,1
0,before,0,71,1
0,before,0,72,1
0,before,0,73,0
0,before,0,74,0
0,before,0,75,1
0,before,0,76,1
0,before,0,77,1
0,before,0,78,2
0,before,0,79,1
0,before,0,80,1
0,before,0,81,2
0,before,0,82,0
0,before,0,83,2
0,before,0,84,2
0,before,0,85,0
0,before,0,86,2
0,before,0,87,2
0,before,0,88,0
0,before,0,89,1
0,before,0,90,1
0,before,0,91,1
0,before,0,92,1
0,before,0,93,1
0,before,0,94,1
0,before,0,95,0
0,before,0,96,1
0,before,0,97,1
0,before,0,98,1
0,before,0,99,1
0,before,0,100,2
0,before,0,101,2
0,before,0,102,0
0,before,0,103,1
0,before,0,104,2
0,before,0,105,1
0,before,0,106,1
0,before,0,107,1
0,before,0,108,2
0,before,0,109,1
0,before,0,110,1
0,before,0,111,0
0,before,0,112,2
0,before,0,113,1
0,before,0,114,0
0,before,0,115,0
0,before,0,116,2
0,before,0,117,1
0,before,0,118,1
0,before,0,119,1
0,before,0,120,2
0,before,0,121,1
0,before,0,122,1
0,before,0,123,1
0,before,0,124,0
0,before,0,125,1
0,before,0,126,1
0,before,0,127,0
0,before,0,128,1
0,before,0,129,1
0,before,0,130,1
0,before,10,0,2
0,before,10,1,0
0,before,10,2,0
0,before,10,3,0
0,before,10,4,0
0,before,10,5,2
0,before,10,6,0
0,before,10,7,2
0,before,10,8,2
0,before,10,9,0
0,before,10,10,0
0,before,10,11,2
0,before,10,12,0
0,before,10,13,0
0,before,10,14,0
0,before,10,15,0
0,before,10,16,0
0,before,10,17,0
0,before,10,18,0
0,before,10,19,0
0,before,10,20,2
0,before,10,21,0
0,before,10,22,0
0,before,10,23,0
0,before,10,24,0
0,before,10,25,1
0,before,10,26,1
0,before,10,27,0
0,before,10,28,0
0,before,10,29,0
0,before,10,30,0
0,before,10,31,0
0,before,10,32,0
0,before,10,33,0
0,before,10,34,0
0,before,10,35,0
0,before,10,36,0
0,before,10,37,0
0,before,10,38,0
0,before,10,39,2
0,before,10,40,0
0,before,10,41,0
0,before,10,42,2
0,before,10,43,2
0,before,10,44,2
0,before,10,45,0
0,before,10,46,2
0,before,10,47,0
0,before,10,48,0
0,before,10,49,0
0,before,10,50,0
0,before,10,51,0
0,before,10,52,0
0,before,10,53,0
0,before,10,54,1
0,before,10,55,0
0,before,10,56,0
0,before,10,57,2
0,before,10,58,1
0,before,10,59,0
0,before,10,60,2
0,before,10,61,0
0,before,10,62,2
0,before,10,63,2
0,before,10,64,0
0,before,10,65,2
0,before,10,66,0
0,before,10,67,2
0,before,10,68,2
0,before,10,69,2
0,before,10,70,0
0,before,10,71,0
0,before,10,72,1
0,before,10,73,0
0,before,10,74,0
0,before,10,75,0
0,before,10,76,1
0,before,10,77,0
0,before,10,78,0
0,before,10,79,0
0,before,10,80,0
0,before,10,81,0
0,before,10,82,0
0,before,10,83,1
0,before,10,84,2
0,before,10,85,0
0,before,10,86,0
0,before,10,87,0
0,before,10,88,0
0,before,10,89,2
0,before,10,90,0
0,before,10,91,0
0,before,10,92,0
0,before,10,93,2
0,before,10,94,0
0,before,10,95,0
0,before,10,96,2
0,before,10,97,0
0,before,10,98,0
0,before,10,99,2
0,before,10,100,0
0,before,10,101,0
0,before,10,102,2
0,before,10,103,2
0,before,10,104,1
0,before,10,105,2
0,before,10,106,1
0,before,10,107,0
0,before,10,108,0
0,before,10,109,0
0,before,10,110,0
0,before,10,111,2
0,before,10,112,0
0,before,10,113,0
0,before,10,114,0
0,before,10,115,0
0,before,10,116,0
0,before,10,117,0
0,before,10,118,0
0,before,10,119,1
0,before,10,120,0
0,before,10,121,0
0,before,10,122,0
0,before,10,123,0
0,before,10,124,0
0,before,10,125,0
0,before,10,126,0
0,before,10,127,0
0,before,10,128,2
0,before,10,129,0
0,before,10,130,0
0,before,11,0,2
0,before,11,1,2
0,before,11,2,2
0,before,11,3,0
0,before,11,4,0
0,before,11,5,0
0,before,11,6,1
0,before,11,7,0
0,before,11,8,1
0,before,11,9,2
0,before,11,10,2
0,before,11,11,0
0,before,11,12,1
0,before,11,13,0
0,before,11,14,2
0,before,11,15,2
0,before,11,16,2
0,before,11,17,0
0,before,11,18,2
0,before,11,19,0
0,before,11,20,2
0,before,11,21,2
0,before,11,22,0
0,before,11,23,0
0,before,11,24,2
0,before,11,25,0
0,before,11,26,0
0,before,11,27,1
0,before,11,28,0
0,before,11,29,0
0,before,11,30,2
0,before,11,31,0
0,before,11,32,0
0,before,11,33,1
0,before,11,34,0
0,before,11,35,2
0,before,11,36,1
0,before,11,37,2
0,before,11,38,1
0,before,11,39,0
0,before,11,40,2
0,before,11,41,2
0,before,11,42,0
0,before,11,43,1
0,before,11,44,2
0,before,11,45,2
0,before,11,46,0
0,before,11,47,2
0,before,11,48,2
0,before,11,49,0
0,before,11,50,2
0,before,11,51,2
0,before,11,52,2
0,before,11,53,1
0,before,11,54,0
0,before,11,55,2
0,before,11,56,0
0,before,11,57,2
0,before,11,58,0
0,before,11,59,1
0,before,11,60,2
0,before,11,61,2
0,before,11,62,2
0,before,11,63,2
0,before,11,64,0
0,before,11,65,2
0,before,11,66,0
0,before,11,67,0
0,before,11,68,2
0,before,11,69,0
0,before,11,70,2
0,before,11,71,2
0,before,11,72,0
0,before,11,73,1
0,before,11,74,1
0,before,11,75,1
0,before,11,76,0
0,before,11,77,2
0,before,11,78,2
0,before,11,79,2
0,before,11,80,2
0,before,11,81,0
0,before,11,82,2
0,before,11,83,0
0,before,11,84,0
0,before,11,85,2
0,before,11,86,2
0,before,11,87,0
0,before,11,88,2
0,before,11,89,2
0,before,11,90,2
0,before,11,91,2
0,before,11,92,0
0,before,11,93,0
0,before,11,94,0
0,before,11,95,0
0,before,11,96,0
0,before,11,97,0
0,before,11,98,1
0,before,11,99,0
0,before,11,100,0
0,before,11,101,1
0,before,11,102,0
0,before,11,103,1
0,before,11,104,0
0,before,11,105,2
0,before,11,106,0
0,before,11,107,0
0,before,11,108,0
0,before,11,109,2
0,before,11,110,2
0,before,11,111,1
0,before,11,112,0
0,before,11,113,0
0,before,11,114,0
0,before,11,115,0
0,before,11,116,0
0,before,11,117,0
0,before,11,118,2
0,before,11,119,0
0,before,11,120,0
0,before,11,121,0
0,before,11,122,2
0,before,11,123,0
0,before,11,124,1
0,before,11,125,1
0,before,11,126,0
0,before,11,127,0
0,before,11,128,0
0,before,11,129,0
0,before,11,130,0
0,before,12,0,1
0,before,12,1,0
0,before,12,2,0
0,before,12,3,0
0,before,12,4,0
0,before,12,5,1
0,before,12,6,0
0,before,12,7,0
0,before,12,8,0
0,before,12,9,0
0,before,12,10,0
0,before,12,11,0
0,before,12,12,1
0,before,12,13,0
0,before,12,14,0
0,before,12,15,0
0,before,12,16,1
0,before,12,17,0
0,before,12,18,0
0,before,12,19,0
0,before,12,20,1
0,before,12,21,0
0,before,12,22,0
0,before,12,23,0
0,before,12,24,0
0,before,12,25,0
0,before,12,26,1
0,before,12,27,1
0,before,12,28,1
0,before,12,29,1
0,before,12,30,0
0,before,12,31,0
0,before,12,32,2
0,before,12,33,1
0,before,12,34,0
0,before,12,35,0
0,before,12,36,1
0,before,12,37,0
0,before,12,38,1
0,before,12,39,0
0,before,12,40,0
0,before,12,41,0
0,before,12,42,0
0,before,12,43,1
0,before,12,44,0
0,before,12,45,1
0,before,12,46,0
0,before,12,47,0
0,before,12,48,1
0,before,12,49,1
0,before,12,50,0
0,before,12,51,0
0,before,12,52,0
0,before,12,53,0
0,before,12,54,0
0,before,12,55,0
0,before,12,56,0
0,before,12,57,0
0,before,12,58,0
0,before,12,59,0
0,before,12,60,1
0,before,12,61,0
0,before,12,62,1
0,before,12,63,1
0,before,12,64,0
0,before,12,65,1
0,before,12,66,0
0,before,12,67,0
0,before,12,68,1
0,before,12,69,0
0,before,12,70,0
0,before,12,71,0
0,before,12,72,0
0,before,12,73,1
0,before,12,74,0
0,before,12,75,0
0,before,12,76,0
0,before,12,77,1
0,before,12,78,0
0,before,12,79,1
0,before,12,80,1
0,before,12,81,0
0,before,12,82,0
0,before,12,83,0
0,before,12,84,0
0,before,12,85,1
0,before,12,86,0
0,before,12,87,0
0,before,12,88,0
0,before,12,89,0
0,before,12,90,0
0,before,12,91,0
0,before,12,92,0
0,before,12,93,0
0,before,12,94,0
0,before,12,95,0
0,before,12,96,1
0,before,12,97,0
0,before,12,98,1
0,before,12,99,0
0,before,12,100,0
0,before,12,101,0
0,before,12,102,0
0,before,12,103,0
0,before,12,104,0
0,before,12,105,0
0,before,12,106,0
0,before,12,107,1
0,before,12,108,0
0,before,12,109,1
0,before,12,110,1
0,before,12,111,1
0,before,12,112,1
0,before,12,113,0
0,before,12,114,0
0,before,12,115,0
